Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Company name
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,37.24,998.0,58.16,5.0,1.75,Maruti
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.6,1582.0,126.2,5.0,12.5,Hyundai
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.0,1199.0,88.7,5.0,4.5,Honda
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.7,1248.0,88.76,7.0,6.0,Maruti
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.0,1968.0,140.8,5.0,17.74,Audi
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,29.54,814.0,55.2,5.0,2.35,Hyundai
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.0,1461.0,63.1,5.0,3.5,Nissan
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.3,2755.0,171.5,8.0,17.5,Toyota
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.5,1598.0,103.6,5.0,5.2,Volkswagen
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.0,1248.0,74.0,5.0,1.95,Tata
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.5,1462.0,103.25,5.0,9.95,Maruti
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.0,1497.0,116.3,5.0,4.49,Honda
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.0,1248.0,74.0,5.0,5.6,Maruti
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.0,2179.0,187.7,5.0,27.0,Land Rover
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,17.5,Land Rover
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.0,2477.0,175.56,7.0,15.0,Mitsubishi
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.0,1498.0,98.6,5.0,5.4,Honda
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.0,1248.0,74.0,5.0,5.99,Maruti
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.4,1461.0,83.8,5.0,6.34,Renault
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.8,2143.0,167.62,5.0,28.0,Mercedes-Benz
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.6,1995.0,190.0,5.0,18.55,BMW
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.6,1248.0,88.5,5.0,8.25,Maruti
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.5,1984.0,177.01,5.0,23.5,Audi
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.0,1197.0,80.0,5.0,1.87,Hyundai
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.0,1598.0,103.6,5.0,2.85,Volkswagen
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.0,1497.0,116.3,5.0,4.25,Honda
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.0,1461.0,63.1,5.0,4.25,Nissan
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.9,998.0,67.1,5.0,2.75,Maruti
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.0,1199.0,88.7,5.0,9.9,Honda
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.0,2494.0,102.0,7.0,4.0,Toyota
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.0,1461.0,108.45,5.0,7.75,Renault
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.5,1798.0,138.1,5.0,6.75,Toyota
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.1,2696.0,184.0,7.0,12.5,Mahindra
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.0,2698.0,179.5,5.0,11.5,Audi
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.0,1598.0,103.5,5.0,6.98,Volkswagen
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85,Maruti
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.0,1248.0,88.5,5.0,8.63,Maruti
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.1,1198.0,82.0,5.0,4.85,Mahindra
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.7,2987.0,254.8,5.0,28.0,Mercedes-Benz
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.0,1199.0,73.9,5.0,5.0,Volkswagen
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.0,796.0,46.3,5.0,1.25,Maruti
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.0,624.0,37.5,4.0,1.53,Tata
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.3,1198.0,77.0,6.0,5.58,Mahindra
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.0,1197.0,82.9,5.0,4.74,Hyundai
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.6,1999.0,149.92,5.0,8.85,Hyundai
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.2,1798.0,138.03,5.0,10.11,Toyota
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.0,1991.0,112.2,5.0,4.25,Hyundai
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.2,2694.0,163.7,7.0,10.95,Toyota
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.0,1120.0,71.0,5.0,3.85,Hyundai
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.5,2498.0,105.0,6.0,5.5,Mahindra
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.1,1968.0,174.33,5.0,21.43,Audi
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.0,1248.0,74.0,5.0,4.25,Maruti
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.0,1248.0,75.0,5.0,3.3,Maruti
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.0,1248.0,74.0,5.0,3.85,Maruti
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.0,1197.0,82.0,5.0,3.6,Hyundai
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.0,1598.0,103.2,5.0,3.99,Volkswagen
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.1,799.0,53.3,5.0,3.3,Renault
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.3,1197.0,78.9,5.0,2.07,Hyundai
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.2,1995.0,147.6,5.0,7.75,Nissan
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.0,998.0,67.1,5.0,2.25,Maruti
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.6,2393.0,147.8,8.0,16.5,Toyota
